---,Word,Mature
1,aba,0
2,aback,0
3,abacus,0
4,abalone,0
5,abandon,0
6,abandoned,0
7,abandons,0
8,abate,0
9,abated,0
10,abatement,0
11,abattoir,0
12,abb,0
13,abba,0
14,abbas,0
15,abbess,0
16,abbey,0
17,abbot,0
18,abdicate,0
19,abdicated,0
20,abdomen,0
21,abdominal,0
22,abduct,0
23,abducted,0
24,abducting,0
25,abduction,0
26,abed,0
27,aberrant,0
28,abetted,0
29,abetting,0
30,abhor,0
31,abhorrent,0
32,abide,0
33,abides,0
34,abiding,0
35,abigail,0
36,abilities,0
37,ability,0
38,abject,0
39,ablation,0
40,ablaze,0
41,able,0
42,ably,0
43,abnormal,0
44,abo,0
45,aboard,0
46,abode,0
47,abolish,0
48,abolished,0
49,abolition,0
50,abort,0
51,aborted,0
52,abortion,0
53,abortions,0
54,abortive,0
55,abound,0
56,abounds,0
57,about,0
58,above,0
59,abram,0
60,abrasion,0
61,abrasions,0
62,abrasive,0
63,abreast,0
64,abridged,0
65,abroad,0
66,abrupt,0
67,abruptly,0
68,abs,0
69,abscess,0
70,absence,0
71,absences,0
72,absent,0
73,absentee,0
74,absinthe,0
75,absolute,0
76,absolve,0
77,absolved,0
78,absorb,0
79,absorbed,0
80,absorbent,0
81,absorber,0
82,absorbers,0
83,absorbing,0
84,absorbs,0
85,abstain,0
86,abstained,0
87,abstract,0
88,abstracts,0
89,absurd,0
90,absurdity,0
91,absurdly,0
92,abundance,0
93,abundant,0
94,abuse,0
95,abused,0
96,abuser,0
97,abusers,0
98,abuses,0
99,abusing,0
100,abusive,0
101,abut,0
102,abysmal,0
103,abyss,0
104,acacia,0
105,academia,0
106,academic,0
107,academics,0
108,academies,0
109,academy,0
110,accede,0
111,acceded,0
112,accent,0
113,accented,0
114,accents,0
115,accept,0
116,accepted,0
117,accepting,0
118,acceptor,0
119,accepts,0
120,access,0
121,accessed,0
122,accesses,0
123,accessing,0
124,accession,0
125,accessory,0
126,accident,0
127,accidents,0
128,acclaim,0
129,acclaimed,0
130,accolade,0
131,accolades,0
132,accompany,0
133,accord,0
134,accorded,0
135,according,0
136,accordion,0
137,accords,0
138,accosted,0
139,account,0
140,accounted,0
141,accounts,0
142,accretion,0
143,accrual,0
144,accrue,0
145,accrued,0
146,accruing,0
147,accuracy,0
148,accurate,0
149,accursed,0
150,accuse,0
151,accused,0
152,accuser,0
153,accusers,0
154,accuses,0
155,accusing,0
156,ace,0
157,aced,0
158,acer,0
159,aces,0
160,acetate,0
161,acetic,0
162,acetone,0
163,acetyl,0
164,ach,0
165,acharya,0
166,ache,0
167,aches,0
168,achieve,0
169,achieved,0
170,achiever,0
171,achievers,0
172,achieves,0
173,achieving,0
174,aching,0
175,acid,0
176,acidic,0
177,acidity,0
178,acids,0
179,acme,0
180,acne,0
181,acolytes,0
182,acorn,0
183,acorns,0
184,acoustic,0
185,acoustics,0
186,acquaint,0
187,acquire,0
188,acquired,0
189,acquires,0
190,acquiring,0
191,acquit,0
192,acquittal,0
193,acquitted,0
194,acre,0
195,acreage,0
196,acres,0
197,acrobat,0
198,acrobatic,0
199,acrobats,0
200,acronym,0
201,acronyms,0
202,acropolis,0
203,across,0
204,acrylic,0
205,acrylics,0
206,act,0
207,acta,0
208,acted,0
209,actin,0
210,acting,0
211,action,0
212,actions,0
213,activate,0
214,activated,0
215,activates,0
216,activator,0
217,active,0
218,actively,0
219,actives,0
220,activism,0
221,activist,0
222,activists,0
223,activity,0
224,acton,0
225,actor,0
226,actors,0
227,actress,0
228,actresses,0
229,acts,0
230,actual,0
231,actuality,0
232,actually,0
233,actuarial,0
234,actuaries,0
235,actuary,0
236,actuated,0
237,actuator,0
238,actuators,0
239,acuity,0
240,acumen,0
241,acute,0
242,acutely,0
243,adage,0
244,adagio,0
245,adamant,0
246,adamantly,0
247,adapt,0
248,adaptable,0
249,adapted,0
250,adapter,0
251,adapters,0
252,adapting,0
253,adaption,0
254,adaptive,0
255,adaptor,0
256,adapts,0
257,add,0
258,added,0
259,addendum,0
260,adder,0
261,addict,0
262,addicted,0
263,addicting,0
264,addiction,0
265,addictive,0
266,addicts,0
267,adding,0
268,addition,0
269,additions,0
270,additive,0
271,additives,0
272,addled,0
273,address,0
274,addressed,0
275,addresses,0
276,adds,0
277,addy,0
278,adenosine,0
279,adept,0
280,adequacy,0
281,adequate,0
282,adhere,0
283,adhered,0
284,adherence,0
285,adherent,0
286,adherents,0
287,adheres,0
288,adhering,0
289,adhesion,0
290,adhesive,0
291,adhesives,0
292,adieu,0
293,adios,0
294,adipose,0
295,adjacent,0
296,adjective,0
297,adjoining,0
298,adjourn,0
299,adjourned,0
300,adjudged,0
301,adjunct,0
302,adjust,0
303,adjusted,0
304,adjuster,0
305,adjusting,0
306,adjusts,0
307,adjutant,0
308,adjuvant,0
309,admin,0
310,admins,0
311,admirable,0
312,admirably,0
313,admiral,0
314,admirals,0
315,admiralty,0
316,admire,0
317,admired,0
318,admirer,0
319,admirers,0
320,admires,0
321,admiring,0
322,admission,0
323,admit,0
324,admits,0
325,admitted,0
326,admitting,0
327,admixture,0
328,ado,0
329,adobe,0
330,adonis,0
331,adopt,0
332,adopted,0
333,adopter,0
334,adopters,0
335,adopting,0
336,adoption,0
337,adoptions,0
338,adoptive,0
339,adopts,0
340,adorable,0
341,adoration,0
342,adore,0
343,adored,0
344,adores,0
345,adoring,0
346,adorn,0
347,adorned,0
348,adorning,0
349,adrenal,0
350,adrenalin,0
351,adrift,0
352,ads,0
353,adulation,0
354,adult,0
355,adultery,0
356,adulthood,0
357,adults,0
358,advance,0
359,advanced,0
360,advances,0
361,advancing,0
362,advantage,0
363,advent,0
364,adventure,0
365,adverb,0
366,adverbs,0
367,adversary,0
368,adverse,0
369,adversely,0
370,adversity,0
371,advert,0
372,advertise,0
373,adverts,0
374,advice,0
375,advices,0
376,advisable,0
377,advise,0
378,advised,0
379,adviser,0
380,advisers,0
381,advises,0
382,advising,0
383,advisor,0
384,advisors,0
385,advisory,0
386,advocacy,0
387,advocate,0
388,advocated,0
389,advocates,0
390,aegis,0
391,aeon,0
392,aerial,0
393,aerials,0
394,aero,0
395,aerobic,0
396,aerobics,0
397,aerodrome,0
398,aeroplane,0
399,aerosol,0
400,aerosols,0
401,aerospace,0
402,aesthetic,0
403,aether,0
404,afar,0
405,aff,0
406,affable,0
407,affair,0
408,affaires,0
409,affairs,0
410,affect,0
411,affected,0
412,affecting,0
413,affection,0
414,affective,0
415,affects,0
416,affidavit,0
417,affiliate,0
418,affinity,0
419,affirm,0
420,affirmed,0
421,affirming,0
422,affirms,0
423,affix,0
424,affixed,0
425,afflicted,0
426,affluence,0
